,#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
226,2020,1,2,13,40,19,1.8,2.8,2.63,19.05,8.16,251,1012.7,14.7,15.5,11.7,99,99
232,2020,1,2,14,40,22,1.4,2.5,2.79,19.05,8.11,265,1013.3,14.6,15.5,11.7,99,99
238,2020,1,2,15,40,58,2.2,4.3,2.81,19.05,8.4,268,1014.3,14.9,15.5,11.7,99,99
244,2020,1,2,16,40,55,2.3,4.5,2.78,19.05,8.73,274,1015.2,15.2,15.5,11.3,99,99
250,2020,1,2,17,40,97,2.3,4.5,2.64,17.39,8.62,264,1015.3,15.4,15.5,11.4,99,99
256,2020,1,2,18,40,89,0.4,1.8,2.69,19.05,9.02,265,1015.5,15.6,15.4,11.6,99,99
262,2020,1,2,19,40,298,0.5,1.8,2.5,19.05,8.94,278,1014.7,15.2,15.4,11.4,99,99
268,2020,1,2,20,40,316,3.5,5.1,2.74,19.05,9.06,268,1014.3,15.1,15.6,11.5,99,99
274,2020,1,2,21,40,312,4.0,5.3,2.96,17.39,9.87,273,1013.6,15.1,15.6,11.9,99,99
280,2020,1,2,22,40,320,4.5,6.1,2.76,19.05,9.57,282,1014.1,15.2,15.7,12.4,99,99
286,2020,1,2,23,40,334,4.2,5.2,2.49,17.39,9.36,275,1014.6,15.3,15.7,12.6,99,99
292,2020,1,3,0,40,323,3.5,5.0,2.57,19.05,9.0,281,1014.3,15.2,15.7,12.8,99,99
298,2020,1,3,1,40,349,4.8,6.1,2.71,17.39,9.93,268,1015.5,15.3,15.6,12.9,99,99
304,2020,1,3,2,40,3,4.9,6.1,2.76,17.39,9.69,274,1016.3,15.3,15.5,13.1,99,99
310,2020,1,3,3,40,10,4.0,4.9,2.91,17.39,10.26,274,1017.3,15.4,15.5,13.3,99,99
316,2020,1,3,4,40,15,2.7,3.8,2.53,17.39,9.59,278,1017.9,15.4,15.5,13.6,99,99
322,2020,1,3,5,40,21,2.0,2.7,2.51,17.39,9.97,279,1018.6,15.4,15.5,13.7,99,99
328,2020,1,3,6,40,34,2.2,3.0,2.27,17.39,9.87,270,1018.6,15.3,15.4,13.7,99,99
334,2020,1,3,7,40,28,1.5,3.0,2.54,16.0,10.21,270,1019.0,15.3,15.5,13.8,99,99
340,2020,1,3,8,40,25,0.6,1.7,2.59,17.39,10.24,269,1019.4,15.3,15.5,13.7,99,99
346,2020,1,3,9,40,7,1.6,2.8,2.52,17.39,9.99,280,1019.6,15.3,15.5,13.9,99,99
352,2020,1,3,10,40,31,2.0,2.8,2.33,17.39,10.03,274,1019.6,15.2,15.4,14.0,99,99
358,2020,1,3,11,40,340,1.8,2.8,2.12,17.39,9.05,282,1019.4,15.2,15.4,14.1,99,99
364,2020,1,3,12,40,8,2.0,2.7,2.61,17.39,10.4,282,1019.7,15.2,15.5,14.2,99,99
370,2020,1,3,13,40,36,1.9,2.9,2.52,17.39,9.7,271,1020.6,15.2,15.6,14.1,99,99
376,2020,1,3,14,40,57,1.6,2.8,2.15,17.39,9.15,266,1021.5,15.4,15.6,14.3,99,99
382,2020,1,3,15,40,50,1.9,2.9,2.05,17.39,9.53,269,1022.3,15.5,15.6,14.5,99,99
388,2020,1,3,16,40,48,0.6,1.3,1.96,16.0,9.61,256,1023.6,15.7,15.5,14.5,99,99
394,2020,1,3,17,40,104,1.3,2.4,2.06,16.0,10.22,250,1024.1,15.8,15.5,14.3,99,99
400,2020,1,3,18,40,101,0.4,1.2,1.96,16.0,10.36,269,1024.1,16.2,15.5,14.1,99,99
406,2020,1,3,19,40,282,0.1,0.9,1.94,16.0,10.33,274,1023.4,16.2,15.5,14.2,99,99
412,2020,1,3,20,40,360,0.3,1.1,1.7,16.0,9.9,261,1022.9,16.4,15.5,13.4,99,99
418,2020,1,3,21,40,316,1.4,2.3,1.95,16.0,10.68,267,1022.9,16.7,15.6,13.0,99,99
424,2020,1,3,22,40,337,1.5,2.3,1.72,16.0,9.76,270,1023.1,16.6,15.6,13.7,99,99
430,2020,1,3,23,40,13,1.7,2.4,1.81,14.81,10.16,274,1023.7,16.5,15.5,14.0,99,99
436,2020,1,4,0,40,334,0.7,1.4,1.95,16.0,10.31,273,1024.1,16.4,15.4,14.1,99,99
442,2020,1,4,1,40,228,3.0,3.8,1.73,16.0,9.94,280,1024.2,14.9,15.4,13.6,99,99
448,2020,1,4,2,40,250,2.6,3.7,1.71,16.0,10.09,275,1024.8,13.5,15.7,12.8,99,99
454,2020,1,4,3,40,264,1.8,2.9,1.78,16.0,10.34,270,1025.4,13.1,15.7,12.5,99,99
460,2020,1,4,4,40,256,2.3,3.4,1.56,14.81,9.66,280,1025.7,13.0,15.5,12.5,99,99
466,2020,1,4,5,40,241,1.4,2.3,1.91,14.81,11.1,269,1026.2,12.9,15.4,12.4,99,99
472,2020,1,4,6,40,233,2.1,3.4,1.48,14.81,9.8,275,1026.4,12.8,15.5,12.3,99,99
478,2020,1,4,7,40,274,2.6,3.8,1.45,14.81,10.21,276,1026.3,13.1,15.4,12.6,99,99
484,2020,1,4,8,40,263,2.8,4.0,1.55,14.81,10.2,267,1026.2,13.0,15.4,12.5,99,99
490,2020,1,4,9,40,273,3.7,5.6,1.62,13.79,10.28,264,1026.3,13.1,15.4,12.6,99,99
496,2020,1,4,10,40,261,3.3,4.6,1.66,13.79,10.51,267,1026.1,13.4,15.4,12.9,99,99
502,2020,1,4,11,40,292,4.3,6.0,1.54,13.79,10.17,260,1026.0,14.0,15.4,13.5,99,99
508,2020,1,4,12,40,315,4.7,5.6,1.52,13.79,9.76,272,1026.0,13.8,15.4,12.8,99,99
514,2020,1,4,13,40,300,3.2,4.8,1.57,13.79,9.2,264,1026.2,13.6,15.4,12.7,99,99
520,2020,1,4,14,40,289,2.3,3.2,1.48,16.0,9.43,262,1026.6,14.0,15.4,13.0,99,99
526,2020,1,4,15,40,304,4.4,5.6,1.54,14.81,10.12,259,1027.4,14.3,15.5,13.0,99,99
532,2020,1,4,16,40,326,5.4,6.7,1.27,16.0,8.96,266,1028.0,14.6,15.5,12.9,99,99
538,2020,1,4,17,40,341,4.6,6.3,1.32,14.81,9.01,265,1028.8,14.5,15.6,12.4,99,99
544,2020,1,4,18,40,4,3.0,4.0,1.39,14.81,9.43,270,1028.2,13.9,999.0,11.9,99,99
550,2020,1,4,19,40,335,2.0,2.8,1.4,16.0,9.82,265,1027.1,14.3,15.7,12.2,99,99
556,2020,1,4,20,40,325,3.9,5.1,1.42,13.79,9.8,268,1026.2,14.6,15.8,12.3,99,99
562,2020,1,4,21,40,347,3.0,3.8,1.45,14.81,9.77,262,1025.3,14.7,15.8,12.5,99,99
568,2020,1,4,22,40,333,3.7,4.4,1.2,13.79,9.05,255,1025.0,14.7,15.9,12.5,99,99
574,2020,1,4,23,40,301,5.3,6.4,1.25,13.79,9.4,283,1025.3,14.9,15.8,12.7,99,99
580,2020,1,5,0,40,310,5.5,7.0,1.33,13.79,8.29,283,1025.1,14.7,15.7,12.4,99,99
586,2020,1,5,1,40,313,5.0,6.7,1.33,14.81,7.9,239,1025.2,14.6,15.7,12.4,99,99
592,2020,1,5,2,40,304,5.8,7.1,1.31,13.79,7.71,258,1025.2,14.6,15.7,12.7,99,99
598,2020,1,5,3,40,311,6.0,7.1,1.45,13.79,7.85,270,1025.6,14.5,15.7,12.6,99,99
604,2020,1,5,4,40,322,4.8,6.0,1.3,12.9,7.52,246,1025.6,14.6,15.7,12.8,99,99
610,2020,1,5,5,40,336,4.8,6.1,1.22,14.81,6.82,260,1026.0,14.7,15.7,12.8,99,99
616,2020,1,5,6,40,306,5.6,6.6,1.18,13.79,6.78,263,1026.0,14.5,15.7,12.7,99,99
622,2020,1,5,7,40,320,4.7,6.1,1.21,16.0,6.38,277,1025.9,14.6,15.7,12.7,99,99
628,2020,1,5,8,40,339,4.6,5.6,1.15,12.9,6.27,253,1025.2,14.6,15.7,12.8,99,99
634,2020,1,5,9,40,312,4.5,5.4,1.18,14.81,6.22,244,1025.2,14.6,15.6,12.7,99,99
640,2020,1,5,10,40,300,4.9,5.9,1.2,14.81,6.13,272,1025.1,14.6,15.6,12.7,99,99
646,2020,1,5,11,40,311,3.2,4.3,1.31,13.79,7.66,260,1024.8,14.4,15.6,12.5,99,99
652,2020,1,5,12,40,320,5.8,7.3,1.21,13.79,6.66,250,1024.7,14.4,15.6,12.0,99,99
658,2020,1,5,13,40,307,4.2,5.0,1.32,13.79,6.64,268,1025.1,14.5,15.6,12.2,99,99
664,2020,1,5,14,40,347,2.4,3.1,1.44,13.79,6.88,258,1025.5,14.4,15.7,12.1,99,99
670,2020,1,5,15,40,342,3.0,4.0,1.44,12.9,6.72,273,1026.0,14.6,15.7,12.3,99,99
676,2020,1,5,16,40,257,1.4,2.3,1.44,12.12,6.36,249,1026.4,14.6,15.8,11.9,99,99
682,2020,1,5,17,40,335,1.7,3.3,1.5,13.79,6.63,233,1026.8,14.7,15.8,12.0,99,99
688,2020,1,5,18,40,321,2.0,3.9,1.6,12.9,6.61,265,1026.3,14.6,15.9,11.6,99,99
694,2020,1,5,19,40,280,2.4,3.9,1.64,7.69,6.88,275,1025.3,14.8,16.1,12.1,99,99
700,2020,1,5,20,40,325,3.1,4.3,1.57,12.9,7.03,259,1024.3,14.7,16.1,12.0,99,99
706,2020,1,5,21,40,304,3.5,4.6,1.53,12.9,7.2,260,1023.6,14.7,16.1,12.4,99,99
712,2020,1,5,22,40,294,2.4,3.8,1.74,8.33,7.47,271,1023.6,14.9,16.2,12.2,99,99
718,2020,1,5,23,40,309,4.7,6.1,1.85,9.09,7.6,273,1023.0,15.0,16.2,12.5,99,99
724,2020,1,6,0,40,315,6.0,7.6,1.87,12.12,7.75,270,1022.8,15.1,16.2,12.9,99,99
730,2020,1,6,1,40,326,5.0,6.3,1.96,13.79,7.83,258,1022.7,15.0,16.3,12.8,99,99
736,2020,1,6,2,40,335,5.0,6.2,2.02,10.0,7.75,273,1023.4,15.0,16.3,13.0,99,99
742,2020,1,6,3,40,319,5.0,6.4,2.17,12.9,8.07,272,1023.1,15.4,16.2,12.1,99,99
748,2020,1,6,4,40,337,5.2,6.7,2.07,12.9,7.89,270,1023.3,15.6,16.2,11.6,99,99
754,2020,1,6,5,40,348,4.2,5.5,2.15,12.12,7.83,263,1023.4,15.4,16.2,12.1,99,99
760,2020,1,6,6,40,50,3.7,4.9,1.98,12.9,7.69,271,1023.5,15.4,16.2,12.0,99,99
766,2020,1,6,7,40,10,2.9,4.0,2.3,11.43,8.0,269,1023.4,15.3,16.3,12.5,99,99
772,2020,1,6,8,40,4,4.3,5.0,2.25,12.9,8.26,265,1023.1,15.2,16.2,12.8,99,99
778,2020,1,6,9,40,8,4.3,5.4,2.14,12.12,8.43,270,1023.1,15.2,16.3,13.1,99,99
784,2020,1,6,10,40,14,4.7,5.4,2.28,12.9,8.41,275,1023.1,15.2,16.3,13.3,99,99
790,2020,1,6,11,40,18,3.8,4.5,2.0,10.0,7.94,282,1022.9,15.3,16.3,13.3,99,99
796,2020,1,6,12,40,6,5.2,6.1,2.37,12.9,8.77,274,1023.0,15.2,16.3,13.7,99,99
802,2020,1,6,13,40,22,3.4,4.3,2.17,10.0,8.27,283,1023.3,15.3,16.2,13.7,99,99
808,2020,1,6,14,40,20,4.4,5.6,2.2,10.0,8.15,285,1023.7,15.5,16.2,13.2,99,99
814,2020,1,6,15,40,38,3.0,4.4,2.02,12.12,7.92,282,1024.2,15.7,16.2,12.7,99,99
820,2020,1,6,16,40,360,3.3,4.3,2.08,10.81,8.0,275,1024.9,16.3,16.2,11.1,99,99
826,2020,1,6,17,40,4,4.4,5.4,1.78,10.0,7.63,273,1025.4,16.5,16.3,11.3,99,99
832,2020,1,6,18,40,3,4.8,5.6,1.91,10.0,8.05,274,1025.2,16.4,16.2,12.1,99,99
838,2020,1,6,19,40,6,4.4,5.2,1.79,10.0,7.38,272,1024.3,16.7,16.3,10.8,99,99
844,2020,1,6,20,40,5,3.7,4.5,1.88,10.0,8.11,270,1023.6,16.7,16.3,12.1,99,99
850,2020,1,6,21,40,353,3.9,5.0,1.67,11.43,7.8,273,1023.0,16.6,16.3,12.0,99,99
856,2020,1,6,22,40,347,3.8,4.9,1.56,10.0,7.79,275,1022.5,16.9,16.4,11.7,99,99
862,2020,1,6,23,40,4,4.7,5.8,1.5,11.43,7.73,275,1022.1,16.9,16.3,12.0,99,99
868,2020,1,7,0,40,359,6.2,7.2,1.68,10.81,7.58,275,1021.9,17.5,16.3,10.4,99,99
874,2020,1,7,1,40,355,5.7,6.7,1.49,10.81,7.31,279,1021.8,17.8,16.3,9.2,99,99
880,2020,1,7,2,40,352,5.5,6.8,1.51,11.43,7.19,284,1021.8,18.1,16.3,9.5,99,99
886,2020,1,7,3,40,2,5.5,6.6,1.56,10.81,7.41,279,1021.7,18.0,16.2,10.4,99,99
892,2020,1,7,4,40,5,5.2,6.3,1.44,10.81,6.91,281,1022.2,17.8,16.2,11.0,99,99
898,2020,1,7,5,40,12,3.8,4.8,1.47,10.81,7.25,274,1022.3,17.0,16.2,12.7,99,99
904,2020,1,7,6,40,8,3.9,4.8,1.4,11.43,7.31,274,1022.1,16.7,16.2,13.0,99,99
910,2020,1,7,7,40,14,4.3,5.0,1.41,12.12,7.57,277,1021.4,16.5,16.2,13.1,99,99
916,2020,1,7,8,40,8,2.9,3.7,1.39,12.12,7.54,273,1021.4,16.6,16.2,12.7,99,99
922,2020,1,7,9,40,360,3.0,3.9,1.23,12.9,7.36,273,1021.1,16.4,16.2,12.9,99,99
928,2020,1,7,10,40,9,5.1,6.1,1.49,12.9,8.2,276,1020.5,16.5,16.2,11.5,99,99
934,2020,1,7,11,40,25,5.5,6.5,1.47,12.12,7.8,283,1020.3,16.4,16.2,10.6,99,99
940,2020,1,7,12,40,12,4.2,5.4,1.43,12.9,7.96,279,1020.0,16.1,16.2,12.2,99,99
946,2020,1,7,13,40,21,4.1,5.0,1.56,12.12,8.62,278,1019.8,16.4,16.3,12.0,99,99
952,2020,1,7,14,40,20,4.1,5.1,1.44,12.12,8.26,280,1019.7,16.0,16.3,12.7,99,99
958,2020,1,7,15,40,30,3.9,5.1,1.34,12.12,8.03,280,1019.9,16.1,16.2,12.6,99,99
964,2020,1,7,16,40,30,3.7,4.6,1.43,11.43,8.01,279,1020.4,16.6,16.2,11.3,99,99
970,2020,1,7,17,40,25,4.0,4.8,1.62,12.12,8.21,285,1020.3,16.5,16.2,11.9,99,99
976,2020,1,7,18,40,25,2.2,2.7,1.64,12.12,8.28,277,1020.1,16.7,16.3,12.0,99,99
982,2020,1,7,19,40,3,2.3,3.0,1.61,12.12,8.3,270,1019.0,16.7,16.4,12.2,99,99
988,2020,1,7,20,40,1,2.2,2.7,1.47,11.43,8.06,261,1018.1,16.7,16.4,12.3,99,99
994,2020,1,7,21,40,354,1.4,1.9,1.54,12.9,8.62,263,1017.4,16.6,16.4,12.0,99,99
1000,2020,1,7,22,40,55,0.5,1.7,1.58,12.12,8.79,275,1017.3,16.9,16.6,11.9,99,99
1006,2020,1,7,23,40,38,0.4,0.9,1.62,12.12,8.8,267,1017.2,17.0,16.6,12.8,99,99
1012,2020,1,8,0,40,290,2.0,2.9,1.58,12.12,8.84,274,1017.3,16.4,16.5,12.9,99,99
1018,2020,1,8,1,40,287,0.6,1.9,1.62,12.9,8.85,278,1017.4,15.6,16.6,13.1,99,99
1024,2020,1,8,2,40,306,1.0,2.0,1.49,12.12,8.47,273,1017.4,15.6,16.5,12.6,99,99
1030,2020,1,8,3,40,314,1.0,1.8,1.72,12.9,9.09,270,1018.0,15.5,16.5,12.4,99,99
1036,2020,1,8,4,40,125,2.5,3.8,1.38,12.12,7.99,269,1018.3,13.5,16.4,12.7,99,99
1042,2020,1,8,5,40,129,0.9,2.0,1.43,12.12,7.85,272,1018.4,12.7,16.4,12.1,99,99
1048,2020,1,8,6,40,104,1.2,2.3,1.39,12.9,7.78,268,1018.1,12.5,16.3,11.9,99,99
1054,2020,1,8,7,40,205,0.7,2.2,1.22,11.43,7.37,266,1017.5,13.0,16.3,12.5,99,99
1060,2020,1,8,8,40,999 9,9.0,99.0,1.25,11.43,7.26,267,9999.0,999.0,999.0,999.0,99,99
1066,2020,1,8,9,40,278,6.4,7.7,1.18,12.9,6.69,251,1017.3,14.8,16.2,12.7,99,99
1072,2020,1,8,10,40,284,6.9,8.9,1.28,12.12,6.95,258,1017.2,14.7,16.2,11.9,99,99
1078,2020,1,8,11,40,292,7.1,8.6,1.24,12.12,6.06,260,1016.7,14.2,16.2,11.6,99,99
1084,2020,1,8,12,40,295,7.5,9.0,1.24,12.12,5.58,271,1016.1,14.4,16.2,11.6,99,99
1090,2020,1,8,13,40,302,7.6,9.4,1.39,12.12,5.39,264,1015.9,14.0,999.0,10.8,99,99
1096,2020,1,8,14,40,306,7.3,8.8,1.55,11.43,5.5,273,1016.2,14.0,16.1,11.0,99,99
1102,2020,1,8,15,40,305,7.0,8.7,1.83,6.67,5.95,278,1016.5,14.0,16.1,10.4,99,99
1108,2020,1,8,16,40,293,7.0,9.7,2.19,8.33,6.52,278,1017.0,14.0,16.2,10.6,99,99
1114,2020,1,8,17,40,295,7.9,10.5,2.33,8.33,6.51,277,1017.5,14.2,16.2,10.6,99,99
1120,2020,1,8,18,40,290,9.0,11.3,2.14,7.14,6.06,279,1017.5,14.4,16.2,10.8,99,99
1126,2020,1,8,19,40,294,8.7,11.2,2.36,8.33,6.09,276,1017.0,14.5,16.2,10.6,99,99
1132,2020,1,8,20,40,301,9.0,10.8,2.23,8.33,6.12,279,1016.4,14.5,16.2,10.1,99,99
1138,2020,1,8,21,40,281,8.0,9.8,2.33,8.33,6.1,278,1015.2,14.4,16.2,10.4,99,99
1144,2020,1,8,22,40,279,8.7,10.7,2.29,6.67,5.98,272,1014.8,14.4,16.2,10.2,99,99
1150,2020,1,8,23,40,287,8.0,10.2,2.66,8.33,6.63,274,1015.1,14.4,16.2,9.9,99,99
1156,2020,1,9,0,40,291,8.1,10.5,2.41,9.09,6.42,273,1015.2,14.4,16.2,10.4,99,99
1162,2020,1,9,1,40,293,8.6,10.8,2.22,8.33,6.23,274,1015.7,14.4,16.2,10.0,99,99
1168,2020,1,9,2,40,296,7.5,9.5,2.09,7.69,6.24,272,1015.9,14.5,16.2,9.9,99,99
1174,2020,1,9,3,40,312,6.9,8.7,2.19,8.33,6.38,267,1016.2,14.6,16.2,10.1,99,99
1180,2020,1,9,4,40,304,6.2,8.0,2.05,7.69,6.33,271,1016.3,14.6,16.2,10.3,99,99
1186,2020,1,9,5,40,288,6.3,7.9,2.25,7.69,6.55,275,1016.5,14.5,16.1,10.7,99,99
1192,2020,1,9,6,40,286,6.0,8.2,2.09,7.69,6.38,276,1016.6,14.3,16.1,9.9,99,99
1198,2020,1,9,7,40,285,7.0,8.7,1.98,7.69,6.36,279,1016.1,14.4,16.1,10.6,99,99
1204,2020,1,9,8,40,288,7.8,9.9,2.02,8.33,6.27,272,1016.0,14.4,16.1,10.4,99,99
1210,2020,1,9,9,40,294,8.8,10.9,2.08,8.33,6.18,273,1016.1,14.4,16.1,10.2,99,99
1216,2020,1,9,10,40,293,9.3,11.2,2.19,8.33,6.11,270,1015.7,14.4,16.1,10.1,99,99
1222,2020,1,9,11,40,302,8.0,9.7,2.25,8.33,6.16,273,1015.2,14.3,16.1,9.4,99,99
1228,2020,1,9,12,40,298,8.7,10.6,2.22,7.69,6.14,272,1015.5,14.3,16.1,9.5,99,99
1234,2020,1,9,13,40,289,9.1,11.6,2.49,8.33,6.62,270,1015.6,14.3,16.1,10.0,99,99
1240,2020,1,9,14,40,288,9.7,12.4,2.18,8.33,6.1,274,1016.0,14.3,16.1,9.7,99,99
1246,2020,1,9,15,40,291,8.8,10.6,2.4,9.09,6.42,275,1016.5,14.2,16.1,8.6,99,99
1252,2020,1,9,16,40,288 1,0.6,12.9,2.5,8.33,6.26,275,1017.0,14.2,16.0,9.3,99,99
1258,2020,1,9,17,40,288 1,0.6,13.7,2.73,8.33,6.37,277,1017.1,14.3,16.1,8.9,99,99
1264,2020,1,9,18,40,285 1,0.2,13.1,2.7,8.33,6.32,279,1016.8,14.1,16.0,9.0,99,99
1270,2020,1,9,19,40,292 1,0.6,12.8,2.54,8.33,6.26,277,1015.9,14.2,999.0,9.3,99,99
1276,2020,1,9,20,40,293 1,2.7,16.0,2.97,7.69,6.28,279,1015.1,14.2,16.0,9.5,99,99
1282,2020,1,9,21,40,291 1,2.1,14.8,2.76,8.33,6.21,281,1015.0,14.2,16.0,10.2,99,99
1288,2020,1,9,22,40,289 1,0.6,13.4,2.83,7.69,6.19,282,1014.8,14.2,16.0,10.1,99,99
1294,2020,1,9,23,40,270,9.7,12.2,2.54,7.69,6.32,275,1014.8,14.0,16.0,11.4,99,99
1300,2020,1,10,0,40,293 1,0.6,13.1,2.35,7.69,5.96,275,1014.1,14.2,16.0,10.9,99,99
1306,2020,1,10,1,40,297 1,1.4,14.1,2.3,7.14,5.93,278,1014.2,14.7,16.0,9.6,99,99
1312,2020,1,10,2,40,301 1,0.3,13.5,2.26,7.14,5.85,275,1014.5,14.6,16.0,10.3,99,99
1318,2020,1,10,3,40,298,9.5,11.8,2.45,7.69,6.02,270,1015.1,14.5,16.0,10.7,99,99
1324,2020,1,10,4,40,319,7.5,9.6,2.62,8.33,6.49,274,1015.8,14.8,16.0,11.3,99,99
1330,2020,1,10,5,40,15,5.3,6.9,2.37,8.33,6.3,282,1016.7,15.0,16.0,9.7,99,99
1336,2020,1,10,6,40,2,5.5,7.0,2.6,8.33,6.88,283,1017.2,15.0,16.0,10.1,99,99
1342,2020,1,10,7,40,2,4.8,6.5,2.29,8.33,6.63,280,1018.2,14.9,16.0,10.2,99,99
1348,2020,1,10,8,40,335,3.2,4.4,2.34,8.33,6.6,280,1018.6,14.9,16.1,9.9,99,99
1354,2020,1,10,9,40,332,4.7,6.3,2.27,10.81,6.81,268,1019.5,15.0,16.1,9.8,99,99
1360,2020,1,10,10,40,319,4.4,6.3,2.38,8.33,6.96,266,1020.1,15.1,16.1,9.8,99,99
1366,2020,1,10,11,40,5,3.7,4.6,2.08,9.09,6.74,268,1019.9,15.1,16.0,9.1,99,99
1372,2020,1,10,12,40,39,3.8,5.0,2.0,9.09,7.07,266,1019.7,14.9,16.0,9.0,99,99
1378,2020,1,10,13,40,42,3.3,4.5,1.79,9.09,6.98,267,1020.8,14.9,16.0,9.6,99,99
1384,2020,1,10,14,40,73,2.4,3.9,1.87,10.0,7.47,264,1021.8,14.6,16.0,10.5,99,99
1390,2020,1,10,15,40,69,1.4,2.7,1.68,9.09,7.36,270,1022.4,14.7,16.0,10.4,99,99
1396,2020,1,10,16,40,127,0.7,2.3,1.94,10.0,7.82,271,1023.5,15.3,16.0,11.1,99,99
1402,2020,1,10,17,40,99,0.6,1.8,1.99,10.0,7.98,271,1024.3,15.4,16.0,11.1,99,99
1408,2020,1,10,18,40,126,0.8,1.9,1.78,9.09,7.51,275,1024.6,15.4,16.1,10.9,99,99
1414,2020,1,10,19,40,123,1.0,2.7,1.91,10.0,7.69,282,1023.7,15.1,16.2,10.9,99,99
1420,2020,1,10,20,40,176,0.2,0.8,1.71,10.0,7.39,280,1023.0,15.3,16.2,10.8,99,99
1426,2020,1,10,21,40,189,0.6,1.6,1.76,10.0,7.45,278,1022.8,15.4,16.4,10.9,99,99
